"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.966916659E-3,5.012930538E-1,3.942666417E-1,-2.194173521E0
1.789891665E-2,1.553331842E-1,8.026291662E-1,-1.804716214E0
2.782991665E-2,7.605809614E-2,8.731196898E-1,-1.439417848E0
3.776191667E-2,-3.746511336E-1,1.020404620E0,-1.186752058E0
4.769391665E-2,-5.468478338E-1,1.267992688E0,-1.062582926E0
5.762491666E-2,-4.841368845E-1,1.053883438E0,-1.141288202E0
6.755691665E-2,-7.738908322E-1,8.827254957E-1,-1.148906540E0
7.748891666E-2,-8.749314496E-1,9.923911947E-1,-9.269859946E-1
8.742091665E-2,-4.547932175E-1,1.138757527E0,-4.599261957E-1
9.735191666E-2,-2.180312696E-1,9.535645133E-1,8.703036708E-1
1.072839166E-1,-3.840524331E-2,8.078881520E-1,2.617381541E0
1.172149167E-1,-3.500384487E-1,6.479948705E-1,3.355796585E0
1.271469167E-1,-2.816673946E-1,5.546791559E-1,3.527060947E0
1.370789167E-1,-1.851989345E-1,5.323293436E-1,2.980892998E0
1.470099167E-1,-4.718264490E-3,3.475754553E-1,1.996000273E0
1.569419166E-1,1.141195963E-1,9.008863628E-2,1.048609834E0
1.668739167E-1,-1.946092241E-2,3.271370977E-1,3.728570616E-1
1.768049166E-1,-4.101748690E-2,1.126783015E0,5.383180618E-2
1.867369167E-1,2.656087112E-1,1.298737932E0,-1.020450228E-1
1.966689166E-1,5.008192466E-1,1.100954694E0,4.503051871E-1
2.065999167E-1,4.804252547E-1,8.063333774E-1,1.518920685E0
2.165319167E-1,9.448484344E-1,2.532972890E-1,2.816197983E0
2.264639167E-1,1.149833762E0,-6.924231845E-1,2.884808042E0
2.363959167E-1,1.006374811E0,-1.234633153E0,2.490674717E0
2.463269166E-1,7.741117108E-1,-1.196632683E0,1.716230884E0
2.562589167E-1,6.645813017E-1,-1.034213989E0,7.833263379E-1
2.661909166E-1,9.238947178E-1,-7.479261249E-1,8.211011052E-2
2.761219167E-1,1.035372981E0,-4.946136332E-1,-3.514609301E-1
